Hora,T1,T2,T3,Pressao,Empuxo,Falhas
14:16:32,2575,2475,3225,0,-492,24
14:16:32,2575,0,3250,0,-492,24
14:16:32,2575,0,3250,5,-490,24
14:16:32,2575,2650,3225,0,-491,25
14:16:33,2525,2800,3275,0,-489,25
14:16:33,2575,2575,3225,0,-482,25
14:16:33,2550,2600,3250,27,-498,25
14:16:34,2575,2600,3225,0,-498,25
14:16:34,2600,2600,3225,150,-502,25
14:16:34,2575,2600,3250,69,-505,25
14:16:34,2550,2600,3250,0,-501,25
14:16:35,2575,2575,3275,90,-494,26
14:16:35,2550,2550,3250,0,-492,26
14:16:35,2625,2575,3275,0,-493,26
14:16:36,2575,2625,3200,27,-454,26
14:16:36,2600,2600,3250,0,-411,26
14:16:36,2550,2600,3225,0,-399,26
14:16:36,2600,2650,3250,0,-438,26
14:16:37,2550,2575,3250,0,-451,26
14:16:37,2600,2600,3250,0,-460,26
14:16:37,2600,2575,3225,169,-496,26
14:16:38,2575,2625,3250,90,-490,26
14:16:38,2625,2600,3225,0,-483,26
14:16:38,2600,2625,3250,0,-476,26
14:16:38,2600,2625,3200,0,-463,26
14:16:39,2550,2625,3250,0,-385,26
14:16:39,2600,2600,3250,27,-455,27
14:16:39,2600,2575,3275,0,-451,27
14:16:40,2600,2650,3250,150,-448,27
14:16:40,2550,2650,3250,130,-442,27
14:16:40,2600,2625,3250,0,-441,27
14:16:40,2600,2650,3275,130,-451,27
14:16:41,2625,2625,3275,48,-469,27
14:16:41,2625,2625,3275,110,-463,27
14:16:41,2575,2625,3224,150,-407,27
14:16:42,2525,2625,3250,150,-397,27
14:16:42,2575,2650,3250,0,-400,27
14:16:42,2575,2600,3250,0,-412,27
14:16:42,2600,2650,3250,0,-348,27
14:16:43,2600,2625,3275,0,-357,27
14:16:43,2600,2600,3250,0,-375,27
14:16:43,2600,2600,3275,110,-111,27
14:16:43,2625,2650,3225,0,-16,27
14:16:44,2600,2600,3275,0,0,27
14:16:44,2575,2625,3225,0,38,27
